trial,local_us,remote_us,latency_us,delta_local_us,delta_remote_us,error_us
8073,331890359,1747579149273788,9643,20000,17936,-2064
8074,331908359,1747579149286704,5874,18000,12916,-5084
8075,331922359,1747579149309132,11283,14000,22428,8428
8076,331942359,1747579149319165,5101,20000,10033,-9967
8077,331956359,1747579149342609,11491,14000,23444,9444
8078,331976359,1747579149360241,9741,20000,17632,-2368
8079,331994359,1747579149376161,8182,18000,15920,-2080
8080,332012359,1747579149393802,7987,18000,17641,-359
8081,332030358,1747579149412120,8437,17999,18318,319
8082,332048359,1747579149429001,7401,18001,16881,-1120
8083,332064359,1747579149444959,7674,16000,15958,-42
8084,332080359,1747579149466035,11153,16000,21076,5076
8085,332100359,1747579149484295,9638,20000,18260,-1740
8086,332118359,1747579149499515,11950,18000,15220,-2780
8087,332138359,1747579149518325,6922,20000,18810,-1190
8088,332154359,1747579149538183,10199,16000,19858,3858
8089,332174359,1747579149551486,5092,20000,13303,-6697
8090,332188359,1747579149569081,7365,14000,17595,3595
8091,332204359,1747579149584330,6926,16000,15249,-751
8092,332220359,1747579149605044,10636,16000,20714,4714
8093,332240359,1747579149621707,7794,20000,16663,-3337
8094,332256359,1747579149633498,5054,16000,11791,-4209
8095,332270359,1747579149656662,11271,14000,23164,9164
8096,332290359,1747579149675966,10988,20000,19304,-696
8097,332310359,1747579149688385,5667,20000,12419,-7581
8098,332324359,1747579149708283,9522,14000,19898,5898
8099,332342359,1747579149728163,10610,18000,19880,1880
8100,332362359,1747579149739548,5199,20000,11385,-8615
8101,332376359,1747579149761246,10605,14000,21698,7698
8102,332396359,1747579149782977,15251,20000,21731,1731
8103,332420359,1747579149797047,4709,24000,14070,-9930
8104,332434359,1747579149983154,248296,14000,186107,172107
8105,332692359,1747579150074034,8658,258000,90880,-167120
8106,332710359,1747579150249319,177265,18000,175285,157285
8107,332896359,1747579150281575,10479,186000,32256,-153744
8108,332916359,1747579150323437,24982,20000,41862,21862
8109,332950359,1747579150330978,7443,34000,7541,-26459
8110,332966359,1747579150354999,12969,16000,24021,8021
8111,332988359,1747579150367989,6980,22000,12990,-9010
8112,333004359,1747579150394609,13951,16000,26620,10620
8113,333026359,1747579150402447,4633,22000,7838,-14162
8114,333040359,1747579150417040,4729,14000,14593,593
8115,333054359,1747579150439224,10227,14000,22184,8184
8116,333074359,1747579150455673,8008,20000,16449,-3551
8117,333092359,1747579150472255,6930,18000,16582,-1418
8118,333108359,1747579150488656,7761,16000,16401,401
8119,333124359,1747579150509048,9968,16000,20392,4392
8120,333142359,1747579150520455,6482,18000,11407,-6593
8121,333158359,1747579150542140,9711,16000,21685,5685
8122,333176359,1747579150565111,16950,18000,22971,4971
8123,333202359,1747579150580247,5797,26000,15136,-10864
8124,333216359,1747579150593491,5056,14000,13244,-756
8125,333230359,1747579150617520,11626,14000,24029,10029
8126,333250359,1747579150629051,6170,20000,11531,-8469
8127,333266359,1747579150649488,9383,16000,20437,4437
8128,333284359,1747579150669936,11566,18000,20448,2448
8129,333304359,1747579150682227,5752,20000,12291,-7709
8130,333318359,1747579150702178,9836,14000,19951,5951
8131,333336359,1747579150723102,12204,18000,20924,2924
8132,333358359,1747579150739239,7573,22000,16137,-5863
8133,333374359,1747579150758345,9369,16000,19106,3106
8134,333392359,1747579150774519,8117,18000,16174,-1826
8135,333410359,1747579150787936,5354,18000,13417,-4583
8136,333424359,1747579150808112,9814,14000,20176,6176
8137,333442359,1747579150829364,13870,18000,21252,3252
8138,333464359,1747579150843736,6515,22000,14372,-7628
8139,333480359,1747579150862619,10548,16000,18883,2883
8140,333500359,1747579150887599,11930,20000,24980,4980
8141,333520359,1747579150897722,5181,20000,10123,-9877
8142,333534359,1747579150918638,10106,14000,20916,6916
8143,333554359,1747579150937870,9660,20000,19232,-768
8144,333572359,1747579150950103,5902,18000,12233,-5767
8145,333586359,1747579150970983,9886,14000,20880,6880
8146,333604359,1747579151021284,33184,18000,50301,32301
8147,333646359,1747579151026209,7029,42000,4925,-37075
8148,333662359,1747579151041291,7718,16000,15082,-918
8149,333678359,1747579151056354,5646,16000,15063,-937
8150,333692359,1747579151074712,8553,14000,18358,4358
8151,333710359,1747579151091075,8677,18000,16363,-1637
8152,333728359,1747579151115352,13439,18000,24277,6277
8153,333750359,1747579151131826,7978,22000,16474,-5526
8154,333766359,1747579151148230,8334,16000,16404,404
8155,333784359,1747579151161114,4813,18000,12884,-5116
8156,333798359,1747579151185746,12271,14000,24632,10632
8157,333820359,1747579151197718,5988,22000,11972,-10028
8158,333836359,1747579151212763,4527,16000,15045,-955
8159,333850359,1747579151227749,6125,14000,14986,986
8160,333866359,1747579151253015,11659,16000,25266,9266
8161,333886359,1747579151289252,23790,20000,36237,16237
8162,333918359,1747579151300978,8619,32000,11726,-20274
8163,333936359,1747579151313554,5069,18000,12576,-5424
8164,333950359,1747579151340665,14008,14000,27111,13111
8165,333974359,1747579151356296,8291,24000,15631,-8369
8166,333992359,1747579151373147,8252,18000,16851,-1149
8167,334010359,1747579151390790,8049,18000,17643,-357
8168,334028359,1747579151406744,6905,18000,15954,-2046
8169,334044359,1747579151428149,10398,16000,21405,5405
8170,334064359,1747579151445680,8568,20000,17531,-2469
8171,334082359,1747579151460612,5891,18000,14932,-3068
8172,334096359,1747579151473898,5411,14000,13286,-714
8173,334110359,1747579151491495,8089,14000,17597,3597
8174,334128359,1747579151520592,15717,18000,29097,11097
8175,334152359,1747579151530233,5553,24000,9641,-14359
8176,334166359,1747579151544047,6193,14000,13814,-186
8177,334182359,1747579151612225,40130,16000,68178,52178
8178,334232359,1747579151619635,12362,50000,7410,-42590
8179,334254359,1747579151633301,6957,22000,13666,-8334
8180,334270359,1747579151647470,5571,16000,14169,-1831
8181,334284359,1747579151669395,10458,14000,21925,7925
8182,334304359,1747579151681801,5382,20000,12406,-7594
8183,334318359,1747579151702532,10538,14000,20731,6731
8184,334338359,1747579151721567,9682,20000,19035,-965
8185,334356359,1747579151736980,7465,18000,15413,-2587
8186,334372359,1747579151753981,8519,16000,17001,1001
8187,334390359,1747579151774185,10171,18000,20204,2204
8188,334410359,1747579151787387,4935,20000,13202,-6798
8189,334424359,1747579151806737,9067,14000,19350,5350
8190,334442359,1747579151829088,11261,18000,22351,4351
8191,334462359,1747579151839672,5547,20000,10584,-9416
8192,334476359,1747579151858917,8471,14000,19245,5245
