trial,local_us,remote_us,latency_us,delta_local_us,delta_remote_us,error_us
211,4864355,1747574571475754,9414,18000,18624,624
212,4882355,1747574571494373,9857,18000,18619,619
213,4900355,1747574571512225,9685,18000,17852,-148
214,4918355,1747574571529352,9130,18000,17127,-873
215,4936355,1747574571548403,9861,18000,19051,1051
216,4954355,1747574571565203,8996,18000,16800,-1200
217,4972355,1747574571583703,9337,18000,18500,500
218,4990355,1747574571601928,9510,18000,18225,225
219,5008355,1747574571619794,9401,18000,17866,-134
220,5026355,1747574571637165,8996,18000,17371,-629
221,5044355,1747574571655190,9032,18000,18025,25
222,5062355,1747574571673026,8985,18000,17836,-164
223,5080355,1747574571691190,9017,18000,18164,164
224,5098355,1747574571709042,8890,18000,17852,-148
225,5116355,1747574571727035,8866,18000,17993,-7
226,5134355,1747574571745008,8850,18000,17973,-27
227,5152355,1747574571762976,8832,18000,17968,-32
228,5170355,1747574571780951,8861,18000,17975,-25
229,5188355,1747574571799001,8862,18000,18050,50
230,5206355,1747574571817181,9020,18000,18180,180
231,5224355,1747574571836210,9678,18000,19029,1029
232,5242355,1747574571853307,9100,18000,17097,-903
233,5260355,1747574571871402,9145,18000,18095,95
234,5278355,1747574571890284,9766,18000,18882,882
235,5296355,1747574571907129,8947,18000,16845,-1155
236,5314355,1747574571924993,8855,18000,17864,-136
237,5332355,1747574571942985,8856,18000,17992,-8
238,5350355,1747574571961055,8901,18000,18070,70
239,5368355,1747574571979114,8944,18000,18059,59
240,5386355,1747574571997752,9381,18000,18638,638
241,5404355,1747574572016226,9695,18000,18474,474
242,5422355,1747574572033284,9073,18000,17058,-942
243,5440355,1747574572051273,9081,18000,17989,-11
244,5458355,1747574572069035,8885,18000,17762,-238
245,5476355,1747574572087879,9477,18000,18844,844
246,5494355,1747574572105051,8888,18000,17172,-828
247,5512355,1747574572123180,8983,18000,18129,129
248,5530355,1747574572142061,9714,18000,18881,881
249,5548355,1747574572159251,9065,18000,17190,-810
250,5566355,1747574572177382,9162,18000,18131,131
251,5584355,1747574572196239,9742,18000,18857,857
252,5602355,1747574572214578,10087,18000,18339,339
253,5622355,1747574572233607,9296,20000,19029,-971
254,5640355,1747574572251679,9325,18000,18072,72
255,5658355,1747574572269345,9127,18000,17666,-334
256,5676355,1747574572287686,9363,18000,18341,341
257,5694355,1747574572305883,9535,18000,18197,197
258,5712355,1747574572323434,9191,18000,17551,-449
259,5730355,1747574572341750,9417,18000,18316,316
260,5748355,1747574572359126,8955,18000,17376,-624
261,5766355,1747574572377254,9029,18000,18128,128
262,5784355,1747574572395387,9153,18000,18133,133
263,5802355,1747574572413479,9224,18000,18092,92
264,5820355,1747574572431616,9304,18000,18137,137
265,5838355,1747574572449072,8922,18000,17456,-544
266,5856355,1747574572467406,9242,18000,18334,334
267,5874355,1747574572485616,9316,18000,18210,210
268,5892355,1747574572503781,9430,18000,18165,165
269,5910355,1747574572521309,9102,18000,17528,-472
270,5928355,1747574572539622,9358,18000,18313,313
271,5946355,1747574572557681,9363,18000,18059,59
272,5964355,1747574572575581,9278,18000,17900,-100
273,5982355,1747574572593559,9279,18000,17978,-22
274,6000355,1747574572611571,9246,18000,18012,12
275,6018355,1747574572629688,9365,18000,18117,117
276,6036355,1747574572647434,9203,18000,17746,-254
277,6054355,1747574572665280,9091,18000,17846,-154
278,6072355,1747574572683642,9300,18000,18362,362
279,6090355,1747574572701819,9456,18000,18177,177
280,6108355,1747574572719409,9182,18000,17590,-410
281,6126355,1747574572737521,9218,18000,18112,112
282,6144355,1747574572755856,9571,18000,18335,335
283,6162355,1747574572773656,9315,18000,17800,-200
284,6180355,1747574572791663,9333,18000,18007,7
285,6198355,1747574572809153,8964,18000,17490,-510
286,6216355,1747574572827246,9038,18000,18093,93
287,6234355,1747574572845289,9096,18000,18043,43
288,6252355,1747574572863477,9226,18000,18188,188
289,6270355,1747574572881798,9411,18000,18321,321
290,6288355,1747574572899830,9465,18000,18032,32
291,6306355,1747574572917649,9302,18000,17819,-181
292,6324355,1747574572935761,9541,18000,18112,112
293,6342355,1747574572953811,9451,18000,18050,50
294,6360355,1747574572971300,9104,18000,17489,-511
295,6378355,1747574572989634,9297,18000,18334,334
296,6396355,1747574573007422,9194,18000,17788,-212
297,6414355,1747574573025675,9359,18000,18253,253
298,6432355,1747574573043298,9072,18000,17623,-377
299,6450355,1747574573061628,9283,18000,18330,330
300,6468355,1747574573079673,9353,18000,18045,45
301,6486355,1747574573097125,8956,18000,17452,-548
302,6504355,1747574573115270,9085,18000,18145,145
303,6522355,1747574573133823,9461,18000,18553,553
304,6540355,1747574573151255,9072,18000,17432,-568
305,6558355,1747574573169656,9342,18000,18401,401
306,6576355,1747574573187696,9375,18000,18040,40
307,6594355,1747574573205443,9170,18000,17747,-253
308,6612355,1747574573223652,9318,18000,18209,209
309,6630355,1747574573241613,9267,18000,17961,-39
310,6648355,1747574573259192,8998,18000,17579,-421
311,6666355,1747574573277121,8957,18000,17929,-71
312,6684355,1747574573295841,9482,18000,18720,720
313,6702355,1747574573313300,9180,18000,17459,-541
314,6720355,1747574573331232,9045,18000,17932,-68
315,6738355,1747574573349370,9157,18000,18138,138
316,6756355,1747574573367142,9004,18000,17772,-228
317,6774355,1747574573385119,9053,18000,17977,-23
318,6792355,1747574573403219,9023,18000,18100,100
319,6810355,1747574573421478,9223,18000,18259,259
320,6828355,1747574573439534,9257,18000,18056,56
321,6846355,1747574573457088,9013,18000,17554,-446
322,6864355,1747574573475823,9451,18000,18735,735
323,6882355,1747574573493247,9018,18000,17424,-576
324,6900355,1747574573511403,9167,18000,18156,156
325,6918355,1747574573530014,9601,18000,18611,611
326,6936355,1747574573547749,9405,18000,17735,-265
327,6954355,1747574573565241,9069,18000,17492,-508
328,6972355,1747574573583784,9444,18000,18543,543
329,6990355,1747574573601659,9347,18000,17875,-125
330,7008355,1747574573619834,9480,18000,18175,175
331,7026355,1747574573637667,9343,18000,17833,-167
332,7044355,1747574573655803,9423,18000,18136,136
333,7062355,1747574573673653,9384,18000,17850,-150
334,7080355,1747574573691684,9355,18000,18031,31
335,7098355,1747574573709412,9176,18000,17728,-272
336,7116355,1747574573727197,9030,18000,17785,-215
337,7134355,1747574573744979,8858,18000,17782,-218
338,7152355,1747574573763113,8965,18000,18134,134
339,7170355,1747574573781296,9094,18000,18183,183
340,7188355,1747574573799641,9312,18000,18345,345
341,7206355,1747574573817300,9098,18000,17659,-341
342,7224355,1747574573835719,9383,18000,18419,419
343,7242355,1747574573853814,9455,18000,18095,95
344,7260355,1747574573871382,9153,18000,17568,-432
345,7278355,1747574573889232,9041,18000,17850,-150
346,7296355,1747574573907638,9309,18000,18406,406
347,7314355,1747574573925507,9235,18000,17869,-131
348,7332355,1747574573943669,9357,18000,18162,162
349,7350355,1747574573961684,9392,18000,18015,15
350,7368355,1747574573979598,9308,18000,17914,-86
351,7386355,1747574573997640,9388,18000,18042,42
352,7404355,1747574574015290,9084,18000,17650,-350
353,7422355,1747574574033294,9108,18000,18004,4
354,7440355,1747574574051658,9349,18000,18364,364
355,7458355,1747574574069019,8883,18000,17361,-639
356,7476355,1747574574087105,8926,18000,18086,86
357,7494355,1747574574105935,9553,18000,18830,830
358,7512355,1747574574123642,9321,18000,17707,-293
359,7530355,1747574574141503,9261,18000,17861,-139
360,7548355,1747574574159675,9348,18000,18172,172
361,7566355,1747574574177709,9394,18000,18034,34
362,7584355,1747574574195400,9187,18000,17691,-309
363,7602355,1747574574213818,9474,18000,18418,418
364,7620355,1747574574231696,9369,18000,17878,-122
365,7638355,1747574574249800,9476,18000,18104,104
366,7656355,1747574574267887,9564,18000,18087,87
367,7674355,1747574574285679,9374,18000,17792,-208
368,7692355,1747574574303835,9485,18000,18156,156
369,7710355,1747574574321385,9175,18000,17550,-450
370,7728355,1747574574339685,9366,18000,18300,300
371,7746355,1747574574357321,9125,18000,17636,-364
372,7764355,1747574574375215,9037,18000,17894,-106
373,7782355,1747574574393354,9143,18000,18139,139
374,7800355,1747574574411517,9248,18000,18163,163
375,7818355,1747574574429297,9111,18000,17780,-220
376,7836355,1747574574447608,9343,18000,18311,311
377,7854355,1747574574465579,9303,18000,17971,-29
378,7872355,1747574574483828,9503,18000,18249,249
379,7890355,1747574574501828,9469,18000,18000,0
380,7908355,1747574574519820,9468,18000,17992,-8
381,7926355,1747574574537580,9332,18000,17760,-240
382,7944355,1747574574555554,9289,18000,17974,-26
383,7962355,1747574574573135,8995,18000,17581,-419
384,7980355,1747574574591701,9392,18000,18566,566
385,7998355,1747574574609917,9551,18000,18216,216
386,8016355,1747574574627684,9369,18000,17767,-233
387,8034355,1747574574645413,9206,18000,17729,-271
388,8052355,1747574574663814,9482,18000,18401,401
389,8070355,1747574574681644,9320,18000,17830,-170
390,8088355,1747574574699416,9217,18000,17772,-228
391,8106355,1747574574717802,9473,18000,18386,386
392,8124355,1747574574735806,9459,18000,18004,4
393,8142355,1747574574753530,9279,18000,17724,-276
394,8160355,1747574574772084,9601,18000,18554,554
395,8178355,1747574574789669,9368,18000,17585,-415
396,8196355,1747574574807224,9065,18000,17555,-445
397,8214355,1747574574825665,9371,18000,18441,441
398,8232355,1747574574843655,9438,18000,17990,-10
399,8250355,1747574574861649,9339,18000,17994,-6
400,8268355,1747574574879832,9496,18000,18183,183
401,8286355,1747574574897805,9460,18000,17973,-27
402,8304355,1747574574915343,9125,18000,17538,-462
403,8322355,1747574574933655,9342,18000,18312,312
404,8340355,1747574574951657,9352,18000,18002,2
405,8358355,1747574574969640,9342,18000,17983,-17
406,8376355,1747574574987280,9110,18000,17640,-360
407,8394355,1747574575005782,9441,18000,18502,502
408,8412355,1747574575023645,9356,18000,17863,-137
409,8430355,1747574575041324,9146,18000,17679,-321
410,8448355,1747574575059662,9358,18000,18338,338
411,8466355,1747574575077645,9341,18000,17983,-17
412,8484355,1747574575095376,9177,18000,17731,-269
